,Population
0,12.0
1,14.0
2,0.0
3,0.0
4,0.0
5,0.0
6,7.0
7,12.0
8,0.0
9,0.0
10,14.0
11,8.0
12,0.0
13,14.0
14,11.0
15,0.0
16,0.0
17,0.0
18,8.0
19,12.0
20,11.0
21,0.0
22,0.0
23,7.0
24,24.0
25,0.0
26,7.0
27,12.0
28,0.0
29,0.0
30,14.0
31,14.0
32,11.0
33,0.0
34,7.0
35,0.0
36,15.0
37,11.0
38,7.0
39,14.0
40,0.0
41,0.0
42,12.0
43,0.0
44,13.0
45,12.0
46,14.0
47,12.0
48,12.0
49,7.0
50,12.0
51,11.0
52,14.0
53,12.0
54,0.0
55,7.0
56,0.0
57,12.0
58,7.0
59,0.0
60,14.0
61,24.0
62,0.0
63,0.0
64,12.0
65,0.0
66,0.0
67,0.0
68,0.0
69,11.0
70,0.0
71,13.0
72,0.0
73,7.0
74,14.0
75,24.0
76,0.0
77,0.0
78,4.0
79,24.0
80,12.0
81,6.0
82,0.0
83,0.0
84,0.0
85,0.0
86,12.0
87,8.0
88,0.0
89,14.0
90,0.0
91,12.0
92,14.0
93,13.0
94,0.0
95,8.0
96,0.0
97,20.0
98,12.0
99,23.0
100,0.0
101,11.0
102,9.0
103,7.0
104,12.0
105,0.0
106,13.0
107,7.0
108,0.0
109,12.0
110,0.0
111,0.0
112,0.0
113,13.0
114,0.0
115,14.0
116,3.0
117,12.0
118,0.0
119,11.0
120,12.0
121,18.0
122,0.0
123,0.0
124,7.0
125,0.0
126,13.0
127,19.0
128,0.0
129,0.0
130,3.0
131,22.0
132,1.0
133,14.0
134,2.0
135,0.0
136,13.0
137,14.0
138,0.0
139,0.0
140,0.0
141,12.0
142,14.0
143,7.0
144,0.0
145,0.0
146,0.0
147,7.0
148,0.0
149,0.0
150,14.0
151,3.0
152,0.0
153,0.0
154,7.0
155,7.0
156,11.0
157,12.0
158,1.0
159,12.0
160,0.0
161,0.0
162,8.0
163,0.0
164,14.0
165,0.0
166,0.0
167,12.0
168,14.0
169,24.0
170,12.0
171,8.0
172,8.0
173,0.0
174,0.0
175,0.0
176,0.0
177,14.0
178,8.0
179,14.0
180,12.0
181,12.0
182,0.0
183,7.0
184,11.0
185,0.0
186,0.0
187,14.0
188,13.0
189,13.0
190,11.0
191,0.0
192,8.0
193,1.0
194,0.0
195,7.0
196,12.0
197,12.0
198,0.0
199,12.0
200,12.0
201,7.0
202,0.0
203,12.0
204,0.0
205,0.0
206,0.0
207,8.0
208,0.0
209,0.0
210,14.0
211,0.0
212,0.0
213,7.0
214,14.0
215,20.0
216,12.0
217,0.0
218,0.0
219,7.0
220,0.0
221,0.0
222,7.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,19.0
232,0.0
233,12.0
234,0.0
235,24.0
236,14.0
237,14.0
238,0.0
239,0.0
240,0.0
241,12.0
242,0.0
243,0.0
244,12.0
245,9.0
246,0.0
247,14.0
248,12.0
249,0.0
250,14.0
251,7.0
252,0.0
253,21.0
254,0.0
255,12.0
256,12.0
257,11.0
258,12.0
